Sarki_Ismi,Populerlik,Dans_Edilebilirlik
"Quevedo: Bzrp Music Sessions, Vol. 52",99,0.621
La Bachata,98,0.835
La Bachata,98,0.835
I'm Good (Blue),98,0.561
La Bachata,98,0.835
La Bachata,98,0.835
I'm Good (Blue),98,0.561
I'm Good (Blue),98,0.561
Me Porto Bonito,97,0.911
Tití Me Preguntó,97,0.65
Me Porto Bonito,97,0.911
Tití Me Preguntó,97,0.65
Tití Me Preguntó,97,0.65
Me Porto Bonito,97,0.911
Tití Me Preguntó,97,0.65
Me Porto Bonito,97,0.911
Efecto,96,0.801
Efecto,96,0.801
I Ain't Worried,96,0.704
Under The Influence,96,0.733
I Ain't Worried,96,0.704
I Ain't Worried,96,0.704
Under The Influence,96,0.733
Ojitos Lindos,95,0.647
Ojitos Lindos,95,0.647
Efecto,95,0.801
As It Was,95,0.52
Efecto,95,0.801
Moscow Mule,94,0.804
Glimpse of Us,94,0.44
Moscow Mule,94,0.804
Moscow Mule,94,0.804
Ojitos Lindos,94,0.647
Moscow Mule,94,0.804
Ojitos Lindos,94,0.647
PROVENZA,93,0.87
PROVENZA,93,0.87
Sweater Weather,93,0.612
Neverita,93,0.876
Neverita,93,0.876
CUFF IT,93,0.78
Sweater Weather,93,0.612
Another Love,93,0.445
Neverita,93,0.876
Sweater Weather,93,0.612
Sweater Weather,93,0.612
Another Love,93,0.445
Left and Right (Feat. Jung Kook of BTS),92,0.881
Calm Down (with Selena Gomez),92,0.801
I Wanna Be Yours,92,0.464
Left and Right (Feat. Jung Kook of BTS),92,0.881
As It Was,92,0.52
Super Freaky Girl,92,0.95
Super Freaky Girl,92,0.95
I Wanna Be Yours,92,0.464
I Wanna Be Yours,92,0.464
Tarot,91,0.795
Caile,91,0.704
LOKERA,91,0.834
LOKERA,91,0.834
Tarot,91,0.795
Caile,91,0.704
Tarot,91,0.795
Blinding Lights,91,0.514
Jimmy Cooks (feat. 21 Savage),91,0.529
Tarot,91,0.795
Caile,90,0.704
GATÚBELA,90,0.627
Party,90,0.829
"Sex, Drugs, Etc.",90,0.572
Atlantis,90,0.4
Running Up That Hill (A Deal With God),90,0.629
