Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
And I Love Her,0.833,0.282
Chi Mai,0.961,0.287
Mujer con Abanico,0.905,0.135
A Thousand Years,0.543,0.396
Love Nwantiti,0.886,0.158
Ramparts,0.882,0.428
Tamacun,0.856,0.914
Fake a smile,0.671,0.191
River Flows In You,0.801,0.23
Guaranteed - Humming Version,0.879,0.339
Paradise,0.933,0.191
Photographs,0.626,0.353
Poison's Gone,0.888,0.258
vs.2013 ~知覚と快楽の螺旋~,0.755,0.925
Game of Thrones,0.903,0.309
"Sad Theme (From \""One Punch Man\"")",0.829,0.162
"He's A Pirate (From \""Pirates of the Caribbean\"")",0.889,0.454
Toulumne,0.978,0.287
Perfect,0.935,0.118
Waltzing Matilda,0.91,0.285
Shallow,0.913,0.346
Pirates of the Caribbean Theme,0.947,0.516
She Only Lies,0.898,0.0699
Drawn by the Wind (Arr. for Guitar),0.954,0.239
End Of The Road,0.534,0.441
As It Was - Acoustic Instrumental,0.836,0.245
What a Wonderful World,0.952,0.144
Moth To A Flame - Acoustic Instrumental,0.897,0.0883
Untainted Innocence,0.926,0.115
Deathlessness,0.56,0.655
Cortes de Aragón,0.889,0.0812
Memories (Instrumental Guitar),0.929,0.185
All The World (I Tell Myself),0.841,0.294
Darker Shade of Black,0.941,0.564
Queens Highway,0.835,0.399
Sonar (Adubado),0.897,0.82
Forasteiro,0.778,0.732
Oxidados,0.765,0.994
Samba Sambei (Dub Mix),0.89,0.664
Panela,0.712,0.761
Dikalo - Remix 97,0.83,0.869
Stop That Train,0.862,0.375
Shimmy Shimmy Ya,0.647,0.666
Ruby,0.687,0.31
Alegria por un Zumo de Naranja Con Panela,0.795,0.65
La nieve en la bola de nieve,0.523,0.231
Uno,0.657,0.686
Desengano da Vista,0.918,0.644
O Guarani,0.84,0.783
Ikeja Roads,0.89,0.598
gorila,0.888,0.617
Shampoo,0.891,0.509
Enzo,0.598,0.864
Caminante,0.708,0.904
Barravenida,0.739,0.651
Tubarão,0.836,0.925
Amerikha Expressa,0.726,0.661
King Cobra,0.739,0.548
Tema Di Malaika,0.897,0.886
Rádio África,0.694,0.948
Wall Street,0.703,0.359
Human Disco Ball,0.509,0.99
C.R.E.A.M.,0.951,0.508
Tezeta (Nostalgia),0.917,0.356
Quieren Efectos,0.865,0.773
Abra Sua Cabeça,0.734,0.895
Open Your Eyes,0.581,0.702
Magus Mountain,0.854,0.803
I´ve Got That Milton Pacheco Kinda Feeling - Melancolic Mix,0.596,0.665
Killer Diller,0.837,0.748
The Traitor,0.927,0.585
Rogers Nelson,0.692,0.536
Cool Love 3,0.926,0.489
Duck and Cover,0.844,0.729
Arroz Con Frijoles,0.649,0.931
Black Hills,0.848,0.728
País Tropical,0.948,0.77
Banano´s Bar,0.664,0.842
Maasai - Doctor Flake Remix,0.932,0.874
Fantastic Man,0.711,0.756
Um samba pra John Coltrane,0.958,0.715
More Mess on My Thing,0.891,0.869
Yègellé Tezeta,0.747,0.233
Si Estuvieras Aquí,0.857,0.569
Tujunga,0.629,0.83
Cold Sweat,0.887,0.619
Ham Gallery,0.767,0.848
Lord Of The Golden Baboon,0.734,0.845
Barbatana,0.663,0.778
Take 5 - Ao Vivo Na Casa De Francisca,0.941,0.444
Reza Frevo,0.979,0.98
Road Song,0.8,0.735
Monsieur le Maire de Niafunké,0.905,0.427
Tezeta,0.931,0.254
Brown Wind and Fire,0.712,0.614
Ivory and Blue - Reprise,0.837,0.84
Pinga Fogo,0.888,0.827
Não Existe Amor em SP (Instrumental),0.868,0.35
Slide Show,0.921,0.716
Aropador,0.918,0.506
Turn and Burn,0.736,0.833
Deep in the Sand,0.843,0.864
Avi-Vo - Remastered,0.814,0.868
Logun,0.559,0.868
Aquamosh,0.7,0.728
Batom,0.505,0.508
Contra el Sol,0.912,0.854
Pernas Voadoras,0.615,0.62
blanco nigeria,0.826,0.694
Tema,0.898,0.664
Agoya,0.811,0.88
Shattered Winds,0.876,0.826
Is yeelyel,0.712,0.805
Budos Dirge,0.922,0.877
Reppirt Yad,0.913,0.511
Polvo de Inti,0.621,0.847
Villa,0.809,0.733
Anbessa,0.861,0.473
Old Engine Oil,0.834,0.91
Bs80,0.899,0.783
Revoar,0.602,0.744
Ginga Ponteiro in Versão,0.92,0.677
Abre-Caminho,0.822,0.73
KNUCKLEHEAD,0.706,0.897
Sniffin' & Snatchin',0.947,0.862
Posed To Be - Instrumental,0.868,0.864
Subirusdoistiozin (Instrumental),0.879,0.385
Tuntuna Rebajada,0.936,0.713
Femme africaine,0.627,0.834
Georgie Famous,0.854,0.804
Burundanga,0.803,0.914
Mark of the Unnamed,0.909,0.797
Instant Coffee (feat. Kyle Hollingsworth),0.725,0.777
You Mess Me Up,0.972,0.995
Henry the Great,0.861,0.5
Dram,0.851,0.765
Murkit Gem,0.921,0.632
Snake Pit - Stove Mix,0.892,0.716
Rock It,0.898,0.824
Bogotá (Instrumental),0.875,0.882
Cántaros,0.519,0.63
An Epic Story,0.79,0.672
Oxidados,0.847,0.996
Águas de Março,0.888,0.498
56,0.807,0.411
Mulato,0.851,0.752
La Mura,0.881,0.608
Asi No Se Puede Muchaches,0.822,0.885
Exu,0.854,0.507
Chicha Negra,0.893,0.853
Tame the Beats,0.901,0.744
Deeper and Deeper,0.768,0.593
Trail of Tears,0.922,0.641
Only Now - Bosq Remix,0.741,0.917
Five Thirty,0.868,0.279
Encendedor,0.809,0.855
On the Border,0.738,0.934
Warbé,0.872,0.247
Gri Gri Bá Dön,0.918,0.837
Doudou,0.725,0.397
The Waddle,0.943,0.837
Beetham Highway Ride,0.92,0.758
Tacutun,0.748,0.671
Mandrill,0.712,0.734
Palermo's Grunch,0.815,0.871
Chalupa,0.885,0.808
Atómico - Felipe Gordon Remix - Single Edit,0.9,0.816
la espada de cadorna,0.848,0.845
Rusty,0.682,0.973
Escape from the Catacombs,0.864,0.721
Ja Fun Mi - Instrumental,0.591,0.683
Drum Song,0.847,0.415
Las Lycras del Avila,0.67,0.624
Vuelo Antillano,0.763,0.735
Love Like This - 45 Edit,0.898,0.837
Kaiso Noir (Bonus Track),0.824,0.618
Thunderbird,0.851,0.978
Into the Void,0.833,0.729
Domingo Echao,0.584,0.457
Pangeia,0.752,0.631
Yennicita,0.907,0.682
Nasty Hats,0.607,0.82
Stimela (Coal Train) - Black Coffee Remix,0.546,0.942
Arepa 3000,0.729,0.877
El valle de las leñas amarillas,0.55,0.4
Karma Sutra,0.85,0.949
Vinheta Baiana,0.834,0.59
Baie de Sangareya,0.911,0.74
P.D.T.N. (Prostituto de Transnacional),0.522,0.777
Cumbia da Simone,0.85,0.777
Love Thy Neighbour,0.804,0.93
Taking Me Down,0.774,0.854
Cumbia Espacial,0.78,0.859
Pagode Russo,0.587,0.868
Let's Fall in Love,0.952,0.958
¿ Quien Es ?,0.862,0.647
El Pescador,0.897,0.722
Tikulafe,0.549,0.77
Yakuba,0.798,0.946
Don't Contradict,0.905,0.961
Sissoko,0.807,0.547
Five Points,0.926,0.678
Yennicita - Alternate Version,0.882,0.585
