Sarki_Ismi,Muzik_Turu,Popülarite
"Quevedo: Bzrp Music Sessions, Vol. 52",hip-hop,99
La Bachata,latin,98
La Bachata,latino,98
I'm Good (Blue),dance,98
I'm Good (Blue),edm,98
I'm Good (Blue),pop,98
La Bachata,reggae,98
La Bachata,reggaeton,98
Me Porto Bonito,latin,97
Tití Me Preguntó,latin,97
Me Porto Bonito,reggae,97
Tití Me Preguntó,reggae,97
Tití Me Preguntó,latino,97
Me Porto Bonito,latino,97
Tití Me Preguntó,reggaeton,97
Me Porto Bonito,reggaeton,97
Efecto,latin,96
Efecto,latino,96
I Ain't Worried,piano,96
Under The Influence,pop,96
I Ain't Worried,pop,96
Under The Influence,dance,96
I Ain't Worried,rock,96
Efecto,reggaeton,95
Ojitos Lindos,latin,95
Ojitos Lindos,latino,95
As It Was,pop,95
Efecto,reggae,95
Moscow Mule,reggae,94
Moscow Mule,latino,94
Moscow Mule,latin,94
Moscow Mule,reggaeton,94
Glimpse of Us,pop,94
Ojitos Lindos,reggaeton,94
Ojitos Lindos,reggae,94
PROVENZA,reggae,93
Neverita,reggaeton,93
Sweater Weather,rock,93
Sweater Weather,alt-rock,93
Sweater Weather,alternative,93
Neverita,latin,93
Another Love,chill,93
Sweater Weather,pop,93
Another Love,pop,93
CUFF IT,dance,93
Neverita,reggae,93
PROVENZA,reggaeton,93
I Wanna Be Yours,indie,92
I Wanna Be Yours,rock,92
I Wanna Be Yours,garage,92
Super Freaky Girl,dance,92
Left and Right (Feat. Jung Kook of BTS),dance,92
Super Freaky Girl,hip-hop,92
Left and Right (Feat. Jung Kook of BTS),pop,92
Calm Down (with Selena Gomez),pop,92
As It Was,pop,92
LOKERA,latin,91
Tarot,latin,91
Caile,latin,91
LOKERA,latino,91
Tarot,latino,91
Caile,latino,91
Jimmy Cooks (feat. 21 Savage),hip-hop,91
Tarot,reggae,91
Blinding Lights,pop,91
Tarot,reggaeton,91
Caile,reggaeton,90
Party,reggaeton,90
GATÚBELA,reggaeton,90
Running Up That Hill (A Deal With God),singer-songwriter,90
Running Up That Hill (A Deal With God),songwriter,90
