Sarki_Ismi,Enstrumantal_Derece
Brown Sleep Noise,1.0
Clean White Noise - Loopable with no fade,1.0
Fan Whir,1.0
Large Industrial Air Conditioner,1.0
Brown Noise For Sleep 5,1.0
Fan Whir,1.0
Air Conditioner Sound,1.0
Brown Noise 148 LPF,1.0
Hair Dryer (Baby White Noise Series),1.0
Hidden Waterfall,1.0
Pink Noise For Sleep 8,1.0
Hair Dryer,1.0
Ruido Rosa Puro - Una Hora Versión,1.0
Screams for a Finale! (feat. Leila's Opera Class),0.999
Old Dryer Drone (No Fade for Looping),0.999
Hair Dryer Sound 19 - Loopable With No Fade,0.999
Waves Rushing Upon the Sandy Sea Beach,0.999
Pouring Rain and Soothing Brown Noise,0.999
Messy Floor Vacuum Cleaner - Non Stationary,0.999
Rain Sound: Pouring,0.999
Brown Noise Waves and the Pouring Rain,0.999
Waterfall For Baby Sleep,0.999
Pouring Rain - Loopable with No Fade,0.999
Brown Noise Waves and the Pouring Rain,0.999
Pouring Rain - Loopable with no fade,0.999
The Ballad of the Radio Blossom,0.999
Pouring Rain - Loopable with No Fade,0.999
Clear Rain,0.999
Hair Dryer on High - Stationary,0.999
"White Noise Relaxation for Calming Down Fussy Infant Baby, Sleepy Toddler or Child",0.999
Hotel Hair Dryer - Non-Stationary,0.999
Hair Salon,0.999
Hair Dryer on High - Stationary,0.999
Plastic Hair Dryer - Stationary,0.999
Céntrate En Ti Mismo,0.999
Rushing Cold Icelandic Waterfall,0.998
White Noise: Showers,0.998
Pink Noise Waves,0.998
Nap in the Afternoon Box Fan,0.998
"Water Fall White Noise: Environmental Sounds for Rem Sleep, Dreaming, Masking Tinnitus",0.998
Reverb Beat,0.998
Waterfall Sounds,0.997
A Niente,0.997
Rain Loop,0.997
The Early Morning Rain,0.997
The Early Morning Rain,0.997
always,0.997
Gentle Rain Fall (Loopable),0.997
Rain Drops,0.997
The Early Morning Rain,0.997
Deep Relaxing White Noise,0.997
Brown Noise For Sleep 3,0.997
Great Ocean,0.996
"Summer Rain Sleep Relaxation Sounds, Pt. 54",0.996
Meeresrauschen für Meditation,0.996
Pink Noise For Sleep 6,0.996
River,0.995
Hair Dryer on Low - Stationary with Slight Swell,0.995
Empire of Bone,0.995
White Noise: Calming Roar of the Ocean to Fall to Sleep and Stay Asleep,0.995
Nosara,0.995
Calming Pacific Ocean Roar to Induce Healing Delta Sleep Waves (Nursery Rhymes Lullabies Effect),0.995
Fast Water Background,0.995
Pouring Rain (Loop with No Fade),0.995
Night,0.995
The Choir,0.995
Entspanntes Meeresrauschen,0.995
Dromen,0.995
The Enemy Within (Part Two),0.995
"Para Reiki: Gotas de Agua, Pt. 31",0.995
Wet Rocks,0.995
From Above,0.994
Sleep Aid: Deep Sleep - Loopable,0.994
Meeresrauschen zum Entspannen,0.994
Hair Dryer - Non-Stationary,0.994
Wicked Fields of Calm,0.993
Meeresrauschen zur Entspannung,0.993
Vacuum with Pure Brown Noise - Loopable with no fade,0.993
Brown Noise and a Vacuum - Loopable,0.993
Light Harmonic,0.993
Schlafhilfe für Eltern,0.993
Rain on the River,0.993
Ionian,0.993
"Para Reiki: Gotas de Agua, Pt. 40",0.993
"Para Reiki: Gotas de Agua, Pt. 01",0.992
"Para Reiki: Gotas de Agua, Pt. 24",0.992
Relaxing Waves,0.992
Meeresrauschen als Alternative zu Babymusik,0.992
Tornado Rain Storm,0.992
White Noise: Kettles,0.992
Healing Rain,0.992
10 Minute Loopable Heavy Rain,0.992
Chillout,0.992
Thunderstorm Noise Loopable,0.992
Calm Hoover Noise,0.992
March Rain,0.991
Gentle Rain Sound (Deep Breathing),0.991
I Will Wait for You,0.991
Eltern müssen auch schlafen,0.991
Hair Dryer Sound 20 - Loopable With No Fade,0.991
Untitled,0.991
Asmr: Big Air Conditioner,0.991
Rain Sounds - Loopable With No Fade,0.991
Sleep: Rainfall for Sleep,0.991
Campomoro,0.991
Naturgeräusche zum Chillen,0.991
Arob,0.991
Consistent Sounds of Mother Nature (From the Sleep App Sound Therapy System),0.99
Arafura,0.99
Meeresrauschen zum Einschlafen,0.99
Fan - Loopable with No Fade,0.99
Hintergrund Meer,0.99
"Rain to fall asleep(Loopable,No fade)",0.99
Loopable Brown Noise,0.989
Einfach mal loslassen und genießen,0.989
Simien,0.989
Rain Sound : Sleep Aid,0.989
White Noise Rain Sounds,0.989
From the Heart,0.989
Gentle Rain Fall,0.989
Waves And Wind,0.989
Paradise Rain,0.989
Womb With Forest Sounds and No Heartbeat (No Fade for Looping),0.989
Ocean White Noise,0.989
A Niente,0.989
TVA First View,0.989
Weißes Rauschen: Aufwachen Total Entspannt,0.988
Jesus' Tod,0.988
Center X,0.988
Loopable Soft Rain,0.988
Bubbles,0.988
Relax,0.988
Ripple,0.988
Ripple,0.988
Bez Boìlu,0.988
Baby Schlafhilfe mit Meeresrauschen,0.988
Bellicoso,0.988
La chandelle,0.988
Die Kerze,0.988
All Night Long Rain,0.987
"Summer Rain Sleep Relaxation Sounds, Pt. 2",0.987
Surviving the Darkness,0.987
MAIN STREET ELECTRICAL PARADE,0.987
Cosmic Sass,0.987
"Secrets - From \""Gladiator\"" Soundtrack",0.987
"Secrets - From \""Gladiator\"" Soundtrack",0.987
Volpara Waterfalls,0.987
Thunderstorm in the Backyard,0.987
Loopable Soft Rainfall for Sleep,0.987
Baby Music For Babies,0.987
Pink Noise For Sleep 7,0.987
Es rauscht das Meer,0.987
Meditation am Meer,0.986
Corale,0.986
Moon Temple,0.986
Ocean Sounds For Baby,0.986
Be Still,0.986
Torne,0.986
Entspannender Schlafzimmerklang,0.986
Пылесос (Белый шум),0.986
Torne,0.986
Wellen umspülen deine Sinne,0.986
La Candela,0.986
Shifting Rainfall,0.985
Pink Noise Relaxation,0.985
Waterfall,0.985
Brilliant Clouds,0.985
Pink Noise - BP 100 hz,0.985
"Forest Waterfall Sound Effects, Rainfall for Overstimulated, Cranky, Grumpy Infants",0.985
Rain Roof,0.985
Sandstorm,0.985
Sandstorm,0.985
"Para Reiki: Gotas de Agua, Pt. 17",0.985
An Ending (Ascent) - Remastered 2005,0.985
Genesis (Intro),0.984
The Infinite Void,0.984
Genesis (Intro),0.984
Genesis (Intro),0.984
Relaxing Rainfall,0.984
Lovely Rain White Noise - Loop No Fade,0.984
Salted Crypts,0.984
Rain and Thunder,0.984
Rain Sound : Loopable Rain,0.984
Piano Baby Lullabies,0.984
Gentle Rain Sound for Spiritual Well Being Music to Cleance the Spirit,0.984
Baby Sleep Music and Lullabies,0.984
Schlaf jetzt Hilfe,0.984
White Noise Heartbeat,0.984
You're My Best Friend,0.984
Thulean Mysteries,0.983
Hymn of Death,0.983
Overture,0.983
This Is a Call To Arms,0.983
Puppy Dog Eyes,0.983
Light Rain Sleep Sounds,0.983
Beggars Can't Be Choosers,0.983
Parallax,0.983
Centro Budista (Musica Relajantes),0.983
Wir alle brauchen einen guten Schlaf,0.983
Meeresrauschen für Yoga,0.983
Waves To Sleep,0.982
Ulayaw,0.982
Reza Frevo,0.982
Zirkeshe Salmak (Dastgahe Shur),0.982
"6 Variations on \""Mio caro Adone\"" by Salieri in B, K.180: 3. Variation II",0.982
Waves: Sleeping Mother,0.982
Leaving Earth,0.982
Cornfield Chase,0.982
Solider Schlafinkubator,0.982
Meeresrauschen für ruhigen Schlaf,0.982
Close up Rain on Window,0.982
Baby Songs,0.982
Waves To Sleep,0.982
Meditation for the Dreams,0.982
Relaxing Piano,0.982
Minha Saudade,0.982
Rain Sounds For Sleep,0.982
Thank You For Everything Part II,0.982
Time to Find Me (Come Inside),0.982
Sleep Baby: Sea Waves Loop,0.981
Misanthropic Breed,0.981
Silent Sky,0.981
Wet Wood (feat. Nima Alizade),0.981
Septem Peccata Mortalia,0.981
Journey to Peace - Rain Mix,0.981
Meeresrauschen für Wellness und Meditation,0.981
Calming Hoover,0.981
Always Loved,0.981
"9 Variations on a Minuet by J.P. Duport in D, K.573: 3. Variation II",0.981
"9 Variations on a Minuet by J.P. Duport in D, K.573: 3. Variation II",0.981
"On the Nature of Daylight (From \""Arrival\"")",0.981
Azukiiro No Kaori,0.981
Abuelo,0.981
Until the Last Moment,0.981
Apenas Mais um Igual a Mim,0.981
Niebla Suave,0.981
Jeder Ozean,0.981
Drop Set - Radio Edit,0.981
Muzika - Sefa Remix,0.981
Rain Sounds: Rain for Sleep,0.98
Meeresrauschen für tiefe Entspannung,0.98
Night of April,0.98
Lefnui,0.98
Hoyt's Office,0.98
Malleus Maleficarum,0.98
"Cambridge, 1963",0.98
Summertime Rolls,0.98
Seaside,0.98
Mysterious,0.98
Aural Blue,0.98
Redemption,0.98
Midnight Sounds,0.98
Natur eigene Schlafmaschine,0.98
Suddenly Insert,0.98
Malleus Maleficarum,0.98
Malleus Maleficarum,0.98
Big Low Dryer (No Fade for Looping),0.98
Oresund,0.98
Loopable Rain,0.98
Lefnui,0.98
Giant Steps Tomorrow,0.98
Soggy Afternoon,0.98
Der sanfte Klang des Meeres,0.98
Azukiiro No Kaori,0.98
Lost Sense,0.979
Slow Dance of Dungeons,0.979
Touching Love,0.979
Acending,0.979
Soothing Thunderstorm Sounds,0.979
Neugeborene Schlafhilfe,0.979
Música para Estudiar,0.979
Oscuro,0.979
Oscuro,0.979
Espana,0.979
Oscuro,0.979
Reza Frevo,0.979
Gravity,0.979
Arrival of Spring,0.978
"He's A Pirate Theme (From \""Pirates Of The Caribbean\"")",0.978
Erblicket Die Tochter Des Firmaments,0.978
24 Hours of Rain Sounds,0.978
Meeresrauschen für Wellness,0.978
White Noise Calm and Quiet,0.978
Sirion,0.978
River Flows in You,0.978
Two As One,0.978
River Flows in You,0.978
Views Of Nature,0.978
River Flows in You,0.978
Root Tones,0.978
Daylight - Radio Edit,0.978
Toulumne,0.978
Faculties of Time,0.978
Nexus Point,0.978
Test Drive - From How To Train Your Dragon Music From The Motion Picture,0.978
Bohemia,0.978
Sea Life,0.978
Qualitätsschlaf,0.978
All Night Rain,0.978
"Estudiar Con Sonidos de Truenos, Pt. 09",0.978
Naturens Ljud för Sömn,0.978
Light Rain on a Tin Roof,0.978
Sirion,0.978
Nexus Point,0.978
Evacuation - From “Chernobyl” TV Series Soundtrack,0.977
Going Under,0.977
Underneath,0.977
Gan Duille,0.977
Luna,0.977
Muerte y Destrucción,0.977
Static Rainstorm,0.977
Awakening Remains - Before Leaving,0.977
Moon In Your Eye,0.977
Paz Mental,0.977
Rain Sounds: Rain on Roof,0.977
Never Stop That Feeling 2001 - Video Cut,0.977
Silent Alchemy,0.977
Never Stop That Feeling 2001 - Video Cut,0.977
Tirana Wolves,0.977
Pan,0.977
Afternoon Skyfall,0.977
Understanding the Human Mind,0.977
The Chair She Sat In,0.976
SD Kard [Mixed] - Unreleased Demo,0.976
"Tochter Zion, freue dich",0.976
Gateway,0.976
Bio-logical,0.976
Dusty Trail,0.976
"Tochter Zion, freue dich",0.976
"Carnaval, Op. 9: No. 8a, Réplique (Live in Japan, 2022)",0.976
Before your eyes,0.976
"7 Variations on \""Willem van Nassau\"" in D, K.25: 2. Variation I",0.976
"Carnaval, Op. 9: No. 8a, Réplique (Live in Japan, 2022)",0.976
Natürlicher Ozeanschlaf,0.976
Gateway,0.976
Gerry Noman,0.976
"The Very Very Very Strongest - Epic Version (from \""One Piece\"")",0.976
Pleasant Dreams,0.976
The Other Side,0.976
Cloud Study,0.976
Rain on a Tent,0.976
Water Into Light,0.976
The Emerald Way,0.976
Shadows,0.976
Happy Time: Oceanwaves Sounds for Help in Relieving Baby’s Colicky Symptoms,0.976
Perfect Rain,0.975
Sons of Odin,0.975
Dance of the Death,0.975
Lifeforms,0.975
"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 2. Variation I",0.975
"Still, Still, Still",0.975
Lifeforms,0.975
Lifeforms,0.975
Dreizehenspecht,0.975
"Still, Still, Still",0.975
Lady Ground,0.975
Lillies On The Lake,0.975
Ashes of Time,0.975
The Citrine Cross,0.975
"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 2. Variation I",0.975
One Man's Dream,0.975
"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 2. Variation I",0.975
"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 2. Variation I",0.975
... (For A Film),0.975
Syphone,0.975
Rain Sounds for Deep Sleep,0.975
Fireplace: Peaceful,0.975
Melgar,0.975
Reindeer(s) Are Better Than People (From 'Frozen'),0.974
Pink Noise - Calm Modulation,0.974
Buried P. 3 - 2017 edition,0.974
White Noise Quiet Slumber,0.974
Sound of Invisible Waters,0.974
Lily's Theme,0.974
Nashville Blues,0.974
Scars of the Earth,0.974
The Healing,0.974
Psychological Necrosis,0.974
Meeresrauschen zum Schlafen,0.974
Scars of the Earth,0.974
Confession,0.974
Savannah's Assault,0.974
Arrival,0.974
Appreciation,0.974
Quiet Call,0.974
A Cosy Bed for Ted,0.974
Pink Noise for Babies,0.973
Ferme Les Yeux,0.973
Unexpected Situations - rh re-arrange,0.973
'98 To Piano [Mix Cut] - Original Mix,0.973
Das Haus weiß es,0.973
Northern Waves,0.973
Cripple Creek,0.973
Baby Sleep Brown Noise,0.973
Pink Noise Meditation,0.973
Lose My Mind,0.973
The Stone (Close Up),0.973
Nothing Era,0.973
"Troisième livre de pièces de clavecin, dix-septième ordre: No. 2, Les petits moulins à vent (Live in Japan, 2022)",0.973
The Legend Begins,0.973
I Won't Wake up This Time (Freaks),0.973
Ruido Blanco De Costa,0.973
Sueño,0.973
Struck By Clouds,0.973
Soothing Minds,0.973
Soothing Minds,0.973
Noise for Restless Kids,0.973
Maskierungsgeräusch für besseren Schlaf,0.973
Meeresrauschen lässt Ihr Baby einschlafen,0.973
Vacum Cleaner,0.973
Brown Noise Small Room Rumble,0.973
Wellen von den Klippen,0.973
'98 To Piano [Mix Cut] - Original Mix,0.973
Rain: Showers,0.973
La maison sait,0.973
Rained In,0.973
Dust,0.973
If Only,0.972
"Piano Concerto No. 21 in C Major, K. 467: II. Andante",0.972
"Stars so Bright, My Eyes Hurt",0.972
"Ladybird, Ladybird",0.972
Strange (feat. Hillary Smith),0.972
Last Dream Before Sunrise,0.972
Bonus Beat 3,0.972
State Of Art - Ryan Elliott Dub,0.972
The End of Childhood (feat. Jack Liebeck),0.972
Carnival of Souls,0.972
Tu as disparu,0.972
Strange (feat. Hillary Smith),0.972
"Deep Sleep, Pt. 1",0.972
Shattered Knife,0.972
"Deep Sleep, Pt. 1",0.972
Temple of Silence,0.972
Soft Baby Lullabies,0.972
You Mess Me Up,0.972
Grandes Olas Rompiendo,0.972
Forward,0.972
Edge Of Dawn,0.972
Loopable Rain Shower for Sleep,0.972
lvs(var),0.972
Pink Noise Tranquility,0.972
Furor Diabolicus,0.972
"6 Variations in G minor for Piano & Violin on \""Hélas, j'ai perdu mon amant\"" K.360: Var. I",0.971
Thunderstorm with Rolling Thunder for Meditation,0.971
"6 Variations in G minor for Piano & Violin on \""Hélas, j'ai perdu mon amant\"" K.360: Var. I",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
Fantasie No. 1 in E-Flat Major (Transcr. H. Büsser for Cornet & Organ),0.971
Meeresrauschen ohne Musik,0.971
Fire Ball Mail,0.971
Stars,0.971
De Dijle,0.971
Fantasie No. 1 in E-Flat Major (Transcr. H. Büsser for Cornet & Organ),0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
Pickers of Empty Cocoons,0.971
Sinetron Sucks,0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.971
Pink Noise for Sleeping,0.971
Sleep Sounds (Serenity White Noise),0.971
"White Noise - Hi Res 541,1 hz",0.971
My Heart Will Go On,0.971
Deep Brown Noise,0.971
Inre Balans,0.971
Lady of the Lake,0.971
Moonlupe,0.971
We Don't Talk About Bruno (from Disney's 'Encanto'),0.971
Downfall,0.97
Dream 1 (before the wind blows it all away) - Pt. 2,0.97
Cangrejito,0.97
Thunderstorm: Heavy Rain - Loopable,0.97
The Whirling Ways of Stars that Pass,0.97
"The London Sketchbook, K. 15a-ss (arr. and/or orch. E. Smith) - Divertimento in B flat: 2. [Presto], K.15ll",0.97
Home Sweet Home,0.97
Ensam i natt,0.97
Deck the Halls with Boughs of Holly (Remastered 2014),0.97
ichiban style,0.97
Ayla Pt. 2,0.97
Great Balls Of Fire Sound,0.97
Freek,0.97
うちのばあちゃんの言うことにゃ,0.97
Soothing Baby Lullabies,0.97
Norbourn,0.97
Adora Skyline,0.97
Alouette Pt.2,0.97
Beauty and the Beast (from 'Beauty and the Beast'),0.969
Sounds Like a Movie,0.969
Juliet's Dream,0.969
Interloper,0.969
Timesleep - Hakobune Remix,0.969
Phoenix At Desert,0.969
Golden Hour,0.969
Love is A Choice,0.969
"Figurines - From \""Gladiator\"" Soundtrack",0.969
Dies Mercurii I Martius - From The Da Vinci Code Original Motion Picture Soundtrack,0.969
"Be Prepared (from \""The Lion King\"")",0.969
One,0.969
Choctaw Hayride,0.969
Brancaster Coast,0.969
"String Quartet No. 3, \""Mishima\"": VI. Mishima / Closing",0.969
Raelee,0.969
"Carmen: \""Habanera\""",0.969
Until It Is Not,0.969
"Carmen: \""Habanera\""",0.969
Doug's Tune,0.969
Tujh Mein Rab Dikhta Hai,0.969
Carnival of the Animals: The Swan,0.969
Twinkle Twinkle Little Star,0.969
"Fragment, Pt. 1",0.969
"Carmen: \""Habanera\""",0.969
Carnival of the Animals: The Swan,0.969
Carnival of the Animals: The Swan,0.969
Frozen Heart,0.969
Hangin' at Caltex,0.969
Tropical Thunder healing Sounds of Mother Nature,0.969
Deeper Sounding Vacuum Cleaner 2 - Stationary,0.969
Thunderstorm Sounds,0.969
Baby Calming Womb Sounds,0.969
Sega Bass Fishing - Bonus Track,0.969
Raelee,0.969
Shairak Kinnummh,0.969
Game of Thrones Theme,0.969
君をのせて,0.969
Mosque (feat. Salar Mahoor),0.969
Violet Waves,0.969
Splattered,0.969
Brace Brace,0.969
Deeper Sounding Vacuum Cleaner 2 - Stationary,0.969
Twinkle Twinkle Little Star,0.969
Sleep,0.969
Fall Asleep Rain,0.969
Midnight Light,0.969
"The London Sketchbook, K. 15a-ss (arr. and/or orch. E. Smith) - Three Contredanses: in F, K.15h",0.968
Main Title - Dumbo,0.968
Sea,0.968
We Float,0.968
Det skal nok gå,0.968
Waiting for the Engineer - From “Chernobyl” TV Series Soundtrack,0.968
Messiah Hwv 56: Hallelujah (Part 2),0.968
A Song of Ice and Fire,0.968
The Night Air Was Cool,0.968
Hitchhiking,0.968
In Summer (from 'Frozen'),0.968
Dishwasher 1 - Loopable,0.968
Feel It,0.968
Mothership Calls,0.968
Awakening,0.968
Rêbendan,0.968
Messiah Hwv 56: Hallelujah (Part 2),0.968
